temperature,humidity,rainfall,soil_moisture,plant_age_days,light_intensity,crop_type,risk_level
30.0,78.7,30.9,67.7,28,9.1,wheat,Critical
23.7,71.9,8.3,63.6,91,65.9,potato,Low
26.0,77.8,25.4,89.0,80,20.3,soybean,Critical
35.8,21.5,1.0,70.0,167,72.6,maize,Low
13.8,56.4,0.0,42.8,123,45.2,cotton,Low
38.0,41.4,0.0,72.6,150,72.2,onion,Low
34.3,35.5,0.6,45.7,154,76.9,sugarcane,Low
21.8,64.2,9.2,78.5,124,65.1,cotton,Low
32.6,94.1,32.6,93.4,5,18.3,onion,Critical
35.0,18.6,0.0,75.1,140,65.9,onion,Low
18.8,71.4,4.1,25.1,25,66.4,maize,Medium
31.6,29.6,1.5,62.8,56,78.4,onion,Low
15.6,46.6,1.1,62.5,23,46.9,soybean,Low
11.3,46.1,0.1,68.4,126,72.3,rice,Low
22.9,85.7,30.5,85.5,108,0.2,potato,Critical
35.5,24.9,2.8,23.0,30,66.5,potato,Low
35.2,75.7,24.8,60.1,102,16.7,onion,Medium
19.2,72.5,3.6,64.1,153,42.4,chili,Medium
8.8,63.8,1.2,24.1,157,46.9,rice,Low
35.4,24.8,1.9,34.3,85,72.2,maize,Medium
37.5,41.3,0.0,52.3,23,100.0,soybean,Low
31.0,85.5,32.7,83.4,7,35.6,sugarcane,High
27.2,51.7,4.4,63.1,58,48.4,onion,Low
26.7,82.2,9.1,65.7,72,49.8,tomato,Medium
30.2,78.5,4.1,27.6,115,64.9,chili,Medium
17.1,51.7,5.5,90.3,65,54.2,rice,Low
22.0,75.9,9.6,73.4,32,49.8,cotton,Medium
25.3,77.9,6.8,72.3,76,59.6,potato,Medium
28.4,58.3,8.9,63.8,14,81.2,onion,Low
28.1,67.3,4.9,61.2,142,79.1,sugarcane,Low
20.7,56.6,4.8,44.5,175,67.9,potato,Low
36.0,40.7,0.0,32.6,78,71.9,cotton,Low
15.7,54.9,4.7,59.8,136,40.5,maize,Low
12.8,48.2,2.5,54.5,166,78.6,potato,Low
27.0,81.5,10.2,76.3,137,49.7,soybean,Low
21.5,65.5,4.3,45.6,134,60.3,wheat,Low
29.1,61.8,2.9,34.4,165,56.5,onion,Low
16.2,68.3,2.2,52.6,89,47.3,potato,Low
21.9,89.8,31.9,93.0,6,14.7,soybean,Critical
37.8,23.9,1.4,78.8,37,90.4,soybean,Low
28.8,74.3,23.3,67.4,88,15.5,onion,Medium
24.3,64.9,0.5,24.1,171,66.2,soybean,Low
31.7,78.6,13.2,86.8,70,23.1,rice,High
44.0,25.3,1.5,55.5,24,92.0,wheat,Medium
28.6,95.4,33.6,73.0,174,25.4,potato,High
22.8,75.5,6.2,81.6,74,59.6,soybean,Low
26.9,62.9,4.7,54.2,123,59.7,onion,Low
11.2,47.2,3.5,25.1,53,67.9,chili,Low
26.6,77.6,6.4,70.7,67,60.6,soybean,Low
15.3,60.1,2.7,64.6,35,52.4,onion,Low
29.4,44.9,1.0,41.7,63,70.0,cotton,Low
13.7,39.8,5.5,76.4,77,70.7,cotton,Low
17.3,56.6,3.8,29.1,18,66.3,chili,Medium
26.9,34.9,0.0,79.4,155,75.8,wheat,Low
28.6,71.9,16.0,65.5,24,12.7,tomato,Medium
12.2,47.4,2.3,59.7,155,48.5,chili,Low
23.1,67.0,4.8,75.3,150,68.1,potato,Low
30.4,68.8,2.3,33.7,28,59.1,tomato,Medium
31.3,73.7,31.3,94.9,51,38.8,maize,Medium
26.2,63.8,2.9,22.2,145,64.5,wheat,Medium
16.4,69.4,6.1,66.6,18,58.6,wheat,Low
28.2,88.9,30.5,84.8,66,20.4,chili,High
33.6,98.4,25.2,77.8,79,31.3,tomato,Medium
39.2,25.1,2.8,40.4,111,73.3,chili,Medium
22.0,60.1,4.4,39.9,93,61.7,onion,Low
39.8,21.6,2.1,43.2,102,61.8,sugarcane,Low
33.4,72.2,3.1,63.3,8,70.9,cotton,Low
29.3,91.9,30.8,93.4,102,41.5,cotton,High
29.2,85.3,19.2,75.5,30,40.3,chili,Low
17.9,47.6,3.1,56.6,25,63.4,rice,Low
34.7,34.9,0.0,60.7,78,69.3,soybean,Medium
21.4,52.7,2.9,41.5,151,51.7,sugarcane,Low
11.3,37.6,4.8,70.0,132,63.2,tomato,Low
11.3,45.7,5.5,82.6,165,68.7,potato,Low
21.6,79.4,4.0,51.9,98,71.4,tomato,Medium
27.8,69.6,4.4,63.5,178,52.0,tomato,Low
10.1,45.2,1.8,76.4,168,51.3,soybean,Low
24.6,51.8,5.3,70.7,14,49.8,rice,Low
25.6,83.0,30.0,91.0,44,10.5,chili,Critical
26.4,64.8,4.9,52.7,99,46.8,maize,Low
27.6,93.4,22.9,61.8,10,21.8,sugarcane,High
36.0,39.7,2.4,36.6,5,79.6,maize,High
36.8,40.3,0.0,30.5,9,90.4,cotton,Medium
31.0,85.2,12.1,78.3,173,41.6,onion,Medium
22.5,89.1,25.0,65.2,160,11.4,chili,Critical
17.7,56.9,3.3,63.3,146,77.2,maize,Low
25.9,71.8,6.2,93.4,100,69.6,potato,Medium
22.7,76.5,24.9,74.4,36,23.5,wheat,High
30.2,84.9,16.0,72.9,147,10.3,soybean,Medium
26.3,87.9,18.0,90.4,51,37.0,soybean,Medium
22.3,53.8,5.5,85.3,84,57.8,maize,Low
22.7,91.3,23.4,86.4,60,18.7,wheat,Critical
15.8,59.0,4.3,32.3,6,65.4,wheat,Low
13.8,40.2,1.3,24.3,95,58.7,tomato,Low
25.7,68.7,6.3,93.8,10,47.8,rice,High
15.6,65.5,4.0,66.7,90,54.1,chili,Low
29.4,86.9,38.4,66.9,70,10.8,wheat,High
39.4,31.9,1.4,39.4,164,92.5,wheat,Low
32.5,40.7,0.9,23.4,14,80.0,sugarcane,Medium
25.0,72.7,3.5,50.1,126,67.7,wheat,Low
24.3,72.7,6.4,78.3,117,64.3,rice,Low
24.1,62.4,6.2,68.8,77,57.9,tomato,Low
33.0,27.9,1.6,38.6,26,79.1,maize,Low
31.6,81.6,16.1,95.0,62,21.9,cotton,High
26.9,82.3,30.7,64.6,163,35.1,cotton,High
39.5,17.9,3.1,52.0,64,84.6,maize,Low
30.3,75.7,5.7,93.8,112,54.0,tomato,High
7.5,49.6,5.2,69.5,46,62.1,cotton,Low
43.7,44.0,2.7,34.1,100,73.7,onion,Low
23.9,62.1,0.0,65.5,40,55.2,rice,Low
27.2,64.0,4.5,34.3,78,58.1,chili,Low
23.5,73.0,7.1,81.5,5,63.6,maize,Low
22.3,64.0,7.9,73.7,10,60.3,potato,Low
21.7,52.7,3.6,22.7,39,36.8,sugarcane,Low
23.8,58.6,2.2,22.2,122,35.8,onion,Low
27.4,59.2,1.2,71.9,17,71.8,rice,Low
9.0,66.9,2.4,42.0,132,68.7,sugarcane,Low
21.1,73.7,3.4,63.1,159,49.7,wheat,Low
28.7,68.6,9.6,83.5,24,87.5,cotton,Low
26.5,87.3,11.8,61.1,150,47.9,cotton,Medium
27.2,75.1,5.1,60.9,34,60.6,cotton,Medium
28.3,70.7,19.7,75.8,23,34.9,onion,Medium
36.2,86.6,30.5,84.9,45,17.7,chili,High
30.2,28.4,1.4,27.8,146,76.0,sugarcane,Low
29.7,85.5,33.2,62.6,169,37.4,wheat,Medium
39.7,17.2,1.6,40.8,62,79.7,cotton,Medium
22.7,60.8,0.2,55.5,48,65.9,onion,Low
22.0,57.2,0.0,45.0,151,59.2,maize,Low
26.4,64.8,4.3,29.5,20,56.6,rice,Low
